id_localizacion,zona
4,Alphabet City
12,Battery Park
13,Battery Park City
24,Bloomingdale
41,Central Harlem
42,Central Harlem North
43,Central Park
45,Chinatown
48,Clinton East
50,Clinton West
68,East Chelsea
74,East Harlem North
75,East Harlem South
79,East Village
87,Financial District North
88,Financial District South
90,Flatiron
100,Garment District
107,Gramercy
113,Greenwich Village North
114,Greenwich Village South
116,Hamilton Heights
120,Highbridge Park
125,Hudson Sq
127,Inwood
128,Inwood Hill Park
137,Kips Bay
140,Lenox Hill East
141,Lenox Hill West
142,Lincoln Square East
143,Lincoln Square West
144,Little Italy/NoLiTa
148,Lower East Side
151,Manhattan Valley
152,Manhattanville
153,Marble Hill
158,Meatpacking/West Village West
161,Midtown Center
162,Midtown East
163,Midtown North
164,Midtown South
166,Morningside Heights
170,Murray Hill
186,Penn Station/Madison Sq West
194,Randalls Island
202,Roosevelt Island
209,Seaport
211,SoHo
224,Stuy Town/Peter Cooper Village
229,Sutton Place/Turtle Bay North
230,Times Sq/Theatre District
231,TriBeCa/Civic Center
232,Two Bridges/Seward Park
233,UN/Turtle Bay South
234,Union Sq
236,Upper East Side North
237,Upper East Side South
238,Upper West Side North
239,Upper West Side South
243,Washington Heights North
244,Washington Heights South
246,West Chelsea/Hudson Yards
249,West Village
261,World Trade Center
262,Yorkville East
263,Yorkville West
